﻿Douban URL,Douban Book Title,Goodreads URL,Goodreads Book Title
https://book.douban.com/subject/1066462/,向左走·向右走,https://www.goodreads.com/book/show/777405.A_Chance_of_Sunshine,A Chance of Sunshine
https://book.douban.com/subject/1016523/,告别薇安,https://www.goodreads.com/book/show/32502968-farewell-to-vivian,Farewell to Vivian 告别薇安
https://book.douban.com/subject/3920130/,告白,https://www.goodreads.com/book/show/8136791-kokuhaku,告白 [Kokuhaku]
https://book.douban.com/subject/3920130/,告白,https://www.goodreads.com/book/show/8136791-kokuhaku,告白 [Kokuhaku]
https://book.douban.com/subject/1449351/,呐喊,https://www.goodreads.com/book/show/426117.Call_to_Arms_,Call to Arms 呐喊
https://book.douban.com/subject/1060852/,呼兰河传,https://www.goodreads.com/book/show/11067469-tales-of-hulan-river,Tales of Hulan River
https://book.douban.com/subject/1119522/,呼啸山庄,https://www.goodreads.com/book/show/6185.Wuthering_Heights,Wuthering Heights
https://book.douban.com/subject/1013129/,哈利·波特与凤凰社,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix
https://book.douban.com/subject/1039487/,哈利·波特与密室,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,Harry Potter and the Chamber of Secrets
https://book.douban.com/subject/2295163/,哈利·波特与死亡圣器,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,Harry Potter and the Deathly Hallows
https://book.douban.com/subject/1432596/,哈利·波特与混血王子,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,Harry Potter and the Half-Blood Prince
https://book.douban.com/subject/1009257/,哈利·波特与火焰杯,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,Harry Potter and the Goblet of Fire
https://book.douban.com/subject/1071241/,哈利·波特与阿兹卡班的囚徒,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,Harry Potter and the Prisoner of Azkaban
https://book.douban.com/subject/1041007/,哈利·波特与魔法石,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,Harry Potter and the Sorcerer's Stone
https://book.douban.com/subject/6856772/,哈利·波特精装全集（套装全7册）,https://www.goodreads.com/book/show/862041.Harry_Potter_Series_Box_Set,Harry Potter Series Box Set
https://book.douban.com/subject/1006197/,哈姆莱特,https://www.goodreads.com/book/show/1420.Hamlet,Hamlet
https://book.douban.com/subject/1029111/,哭泣的骆驼,https://www.goodreads.com/book/show/17448715,哭泣的骆驼
https://book.douban.com/subject/1013267/,唐诗三百首,https://www.goodreads.com/book/show/6062859-three-hundred-tang-poems,Three Hundred Tang Poems
https://book.douban.com/subject/2022979/,喜宝,https://www.goodreads.com/book/show/17319289,喜寶
https://book.douban.com/subject/3183775/,四世同堂,https://www.goodreads.com/book/show/36272323-four-generations-under-one-roof,四世同堂 Four Generations under One Roof
https://book.douban.com/subject/1008145/,围城,https://www.goodreads.com/book/show/595108.Fortress_Besieged,Fortress Besieged
https://book.douban.com/subject/1015452/,国境以南 太阳以西,https://www.goodreads.com/book/show/17799.South_of_the_Border_West_of_the_Sun,"South of the Border, West of the Sun"
https://book.douban.com/subject/1046492/,國史大綱（上下）,https://www.goodreads.com/book/show/4586897,國史大綱
https://book.douban.com/subject/2285572/,圣传,https://www.goodreads.com/book/show/27023.RG_Veda_Vol_01,"RG Veda, Vol. 01"
https://book.douban.com/subject/1917972/,在路上,https://www.goodreads.com/book/show/70401.On_the_Road,On the Road
https://book.douban.com/subject/1056733/,地下铁,https://www.goodreads.com/book/show/750456.The_Sound_of_Colors,The Sound of Colors: A Journey of the Imagination
https://book.douban.com/subject/1254588/,城南旧事,https://www.goodreads.com/book/show/29849780,城南旧事
https://book.douban.com/subject/1258490/,基地,https://www.goodreads.com/book/show/29579.Foundation,Foundation
https://book.douban.com/subject/1085860/,基督山伯爵,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo,The Count of Monte Cristo
https://book.douban.com/subject/1036274/,夏洛的网,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,Charlotte's Web
https://book.douban.com/subject/1422833/,多情剑客无情剑(上、中、下),https://www.goodreads.com/book/show/4942693-sentimental-swordsman-ruthless-sword,"Sentimental Swordsman, Ruthless Sword"
https://book.douban.com/subject/3654604/,天使与魔鬼,https://www.goodreads.com/book/show/960.Angels_Demons,Angels & Demons
https://book.douban.com/subject/1424694/,天堂之吻 (Vol. 1),https://www.goodreads.com/book/show/16012.Paradise_Kiss_Vol_1,"Paradise Kiss, Vol. 1"
https://book.douban.com/subject/4242172/,天才在左 疯子在右,https://www.goodreads.com/book/show/11852272,天才在左疯子在右
https://book.douban.com/subject/1853785/,天是红河岸,https://www.goodreads.com/book/show/357399.Red_River_Vol_1,"Red River, Vol. 1"
https://book.douban.com/subject/1675478/,天朝的崩溃,https://www.goodreads.com/book/show/30462616-the-qing-empire-and-the-opium-war,The Qing Empire and the Opium War: The Collapse of the Heavenly Dynasty
https://book.douban.com/subject/1255625/,天龙八部,https://www.goodreads.com/book/show/1288284._,天龙八部
https://book.douban.com/subject/4238754/,失恋33天,https://www.goodreads.com/book/show/13482789-33,失恋33天
https://book.douban.com/subject/20428302/,失明症漫记,https://www.goodreads.com/book/show/40495148-blindness,Blindness
